epoch,lr-Adam,step,test_acc,test_f1,test_mcc,train_loss,val_acc,val_f1,val_loss,val_mcc
,5e-05,0,,,,,,,,
0,,49,,,,0.6607701778411865,,,,
0,,86,,,,,0.786697268486023,0.8128772377967834,0.6173552870750427,0.5891892910003662
,5e-05,87,,,,,,,,
1,,99,,,,0.6301571130752563,,,,
1,,149,,,,0.6534820795059204,,,,
1,,173,,,,,0.8119266033172607,0.8255318999290466,0.5380486845970154,0.6274020075798035
,5e-05,174,,,,,,,,
2,,199,,,,0.49586451053619385,,,,
2,,249,,,,0.6028815507888794,,,,
2,,260,,,,,0.8233944773674011,0.8307692408561707,0.4611833989620209,0.6471689939498901
,5e-05,261,,,,,,,,
3,,299,,,,0.37867462635040283,,,,
3,,347,,,,,0.8279816508293152,0.8325892686843872,0.4095034599304199,0.6558420658111572
,5e-05,348,,,,,,,,
4,,349,,,,0.5502322316169739,,,,
4,,399,,,,0.5133712887763977,,,,
4,,434,,,,,0.8279816508293152,0.8310810923576355,0.38406604528427124,0.655847430229187
5,,435,0.8401976823806763,0.8410704731941223,0.6804714202880859,,,,,
