epoch,lr-Adam,step,test_acc,test_f1,test_mcc,train_loss,val_acc,val_f1,val_loss,val_mcc
,5e-05,0,,,,,,,,
0,,49,,,,0.601875364780426,,,,
0,,86,,,,,0.8038991093635559,0.8260427117347717,0.5971443057060242,0.6211466193199158
,5e-05,87,,,,,,,,
1,,99,,,,0.6180921792984009,,,,
1,,149,,,,0.6042923927307129,,,,
1,,173,,,,,0.8153669834136963,0.8296296000480652,0.4993914067745209,0.6352027654647827
,5e-05,174,,,,,,,,
2,,199,,,,0.47949182987213135,,,,
2,,249,,,,0.43934813141822815,,,,
2,,260,,,,,0.8291284441947937,0.8357221484184265,0.4240996241569519,0.6584951281547546
3,,261,0.8429434299468994,0.8467309474945068,0.6868683099746704,,,,,
